Unnamed: 0,Indicator,Year,Value,CA_Balance_%
32.0,"Change in Inventories, Real, Domestic Currency",1992,31003.52290418,
33.0,"Change in Inventories, Real, Domestic Currency",1993,25294.73819162,
34.0,"Change in Inventories, Real, Domestic Currency",1994,29089.79906533,
35.0,"Change in Inventories, Real, Domestic Currency",1995,36213.7998118,
36.0,"Change in Inventories, Real, Domestic Currency",1996,17693.09549941,
37.0,"Change in Inventories, Real, Domestic Currency",1997,24165.53454791,
38.0,"Change in Inventories, Real, Domestic Currency",1998,28245.76553158,
39.0,"Change in Inventories, Real, Domestic Currency",1999,29565.69241628,
40.0,"Change in Inventories, Real, Domestic Currency",2000,36885.90062988,
41.0,"Change in Inventories, Real, Domestic Currency",2001,37137.45647096,
42.0,"Change in Inventories, Real, Domestic Currency",2002,25998.41139678,
43.0,"Change in Inventories, Real, Domestic Currency",2003,31153.48866509,
44.0,"Change in Inventories, Real, Domestic Currency",2004,19457.1343711,
45.0,"Change in Inventories, Real, Domestic Currency",2005,6041.32621447003,
46.0,"Change in Inventories, Real, Domestic Currency",2006,15248.40333702,
47.0,"Change in Inventories, Real, Domestic Currency",2007,31225.370625720003,
48.0,"Change in Inventories, Real, Domestic Currency",2008,25943.46678071,
49.0,"Change in Inventories, Real, Domestic Currency",2009,-17519.16101619,
50.0,"Change in Inventories, Real, Domestic Currency",2010,13419.0,
51.0,"Change in Inventories, Real, Domestic Currency",2011,24544.58454567,
52.0,"Change in Inventories, Real, Domestic Currency",2012,-23559.44773996,
53.0,"Change in Inventories, Real, Domestic Currency",2013,-1823.45958582001,
54.0,"Change in Inventories, Real, Domestic Currency",2014,-702.061336290039,
55.0,"Change in Inventories, Real, Domestic Currency",2015,-19356.724154720003,
56.0,"Change in Inventories, Real, Domestic Currency",2016,-20255.4232133799,
57.0,"Change in Inventories, Real, Domestic Currency",2017,2968.97300771997,
58.0,"Change in Inventories, Real, Domestic Currency",2018,-140.143037369995,
59.0,"Change in Inventories, Real, Domestic Currency",2019,-9965.28875643994,
60.0,"Change in Inventories, Real, Domestic Currency",2020,-13626.24068687,
61.0,"Change in Inventories, Real, Domestic Currency",2021,10963.5831267101,
62.0,"Change in Inventories, Real, Domestic Currency",2022,29960.63749545,
63.0,"Change in Inventories, Real, Domestic Currency",2023,29658.04736992,
96.0,"Exports of Goods and Services, Real, Domestic Currency",1992,403014.66973666,
97.0,"Exports of Goods and Services, Real, Domestic Currency",1993,379108.16673837,
98.0,"Exports of Goods and Services, Real, Domestic Currency",1994,409127.12968331,
99.0,"Exports of Goods and Services, Real, Domestic Currency",1995,436157.77377454,
100.0,"Exports of Goods and Services, Real, Domestic Currency",1996,461830.09024441,
101.0,"Exports of Goods and Services, Real, Domestic Currency",1997,518336.36049226,
102.0,"Exports of Goods and Services, Real, Domestic Currency",1998,558135.25169881,
103.0,"Exports of Goods and Services, Real, Domestic Currency",1999,587610.8778554399,
104.0,"Exports of Goods and Services, Real, Domestic Currency",2000,668838.6323683199,
105.0,"Exports of Goods and Services, Real, Domestic Currency",2001,706735.8687315,
106.0,"Exports of Goods and Services, Real, Domestic Currency",2002,736483.15849913,
107.0,"Exports of Goods and Services, Real, Domestic Currency",2003,750473.9014303101,
108.0,"Exports of Goods and Services, Real, Domestic Currency",2004,836999.1250568101,
109.0,"Exports of Goods and Services, Real, Domestic Currency",2005,892962.05851634,
