Year,Ryanair,Lufthansa Group,Aeroflot Group,Turkish Airlines,Air France-KLM,International Airlines Group,Wizz Air,EasyJet,Pegasus Airlines,S7 Airlines,SAS Group,Ural Airlines,Aegean Airlines,UTair Aviation,Norwegian Air Shuttle ASA,TAP Air Portugal
2021,178.77,79.36,526.55,265.09,60.78,61.49,723.33,61.82,650.32,363.88,37.88,920,71.19,296.67,121.37,84.49
2020,128.42,61.51,346.67,165.38,46.39,49.53,555.67,48.76,474.52,252.04,32.75,560,51.19,204.17,134.71,67.54
2019,376.30,245.69,697.70,439.53,141.77,187.18,1326.67,313.03,992.26,365.31,110.78,962,148.42,337.08,709.80,247.10
2018,343.70,240.78,640.23,444.73,138.03,178.67,1127.00,268.18,966.77,325.71,111.52,900,138.32,318.75,732.16,230.29
2017,317.95,220.03,576.21,405.98,134.31,165.87,942.33,247.36,897.42,290.82,105.46,800,130.89,304.17,650.00,206.81
2016,288.40,198.65,498.85,371.60,127.07,159.34,759.33,225.76,778.71,268.37,109.29,647,123.37,277.08,574.51,169.86
2015,250.37,194.92,452.87,362.13,122.18,150.16,640.00,211.82,719.35,216.33,100.74,540,114.85,366.67,505.88,163.77
2014,213.33,190.36,398.85,324.26,118.91,122.31,526.67,197.88,635.48,206.12,101.49,510,100.99,466.67,470.59,165.22
2013,200.99,186.80,360.92,285.80,106.67,106.33,450.00,186.06,541.94,189.80,94.42,440,87.13,433.33,405.88,155.07
2012,196.54,184.26,316.09,230.77,105.44,86.39,400.00,179.39,438.71,169.39,94.42,350,88.12,325.00,347.06,147.83
2011,188.64,189.51,188.51,192.90,103.13,81.80,373.33,168.18,364.52,104.08,91.82,250,98.02,241.67,307.84,142.03
2010,179.51,160.91,162.07,172.19,96.33,80.06,320.00,150.61,277.42,97.96,85.87,180,100.00,216.67,254.90,131.88
2009,161.23,137.39,127.59,148.52,97.14,84.34,260.00,139.70,190.32,114.29,84.76,150,100.99,162.50,211.76,121.74
2008,142.47,129.27,133.33,133.73,100.41,94.62,193.33,135.15,141.94,120.41,100.37,150,111.88,133.33,178.43,126.09
2007,120.99,116.41,117.24,115.98,101.77,97.63,140.00,115.76,-,116.33,101.12,120,109.90,120.83,135.29,114.49
2006,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100,100.00,100.00,100.00,100.00
