,Airline,Year,Passengers
0,Ryanair1,2021,72.4
1,Ryanair1,2020,52.01
2,Ryanair1,2019,152.4
3,Ryanair1,2018,139.2
4,Ryanair1,2017,128.77
5,Ryanair1,2016,116.8
6,Ryanair1,2015,101.4
7,Ryanair1,2014,86.4
8,Ryanair1,2013,81.4
9,Ryanair1,2012,79.6
10,Ryanair1,2011,76.4
11,Ryanair1,2010,72.7
12,Ryanair1,2009,65.3
13,Ryanair1,2008,57.7
14,Ryanair1,2007,49.0
15,Ryanair1,2006,40.5
16,Lufthansa Group2,2021,46.9
17,Lufthansa Group2,2020,36.35
18,Lufthansa Group2,2019,145.2
19,Lufthansa Group2,2018,142.3
20,Lufthansa Group2,2017,130.04
21,Lufthansa Group2,2016,117.4
22,Lufthansa Group2,2015,115.2
23,Lufthansa Group2,2014,112.5
24,Lufthansa Group2,2013,110.4
25,Lufthansa Group2,2012,108.9
26,Lufthansa Group2,2011,112.0
27,Lufthansa Group2,2010,95.1
28,Lufthansa Group2,2009,81.2
29,Lufthansa Group2,2008,76.4
30,Lufthansa Group2,2007,68.8
31,Lufthansa Group2,2006,59.1
32,Aeroflot Group5,2021,45.81
33,Aeroflot Group5,2020,30.16
34,Aeroflot Group5,2019,60.7
35,Aeroflot Group5,2018,55.7
36,Aeroflot Group5,2017,50.13
37,Aeroflot Group5,2016,43.4
38,Aeroflot Group5,2015,39.4
39,Aeroflot Group5,2014,34.7
40,Aeroflot Group5,2013,31.4
41,Aeroflot Group5,2012,27.5
42,Aeroflot Group5,2011,16.4
43,Aeroflot Group5,2010,14.1
44,Aeroflot Group5,2009,11.1
45,Aeroflot Group5,2008,11.6
46,Aeroflot Group5,2007,10.2
47,Aeroflot Group5,2006,8.7
48,Turkish Airlines6,2021,44.8
49,Turkish Airlines6,2020,27.95
50,Turkish Airlines6,2019,74.28
51,Turkish Airlines6,2018,75.16
52,Turkish Airlines6,2017,68.61
53,Turkish Airlines6,2016,62.8
54,Turkish Airlines6,2015,61.2
55,Turkish Airlines6,2014,54.8
56,Turkish Airlines6,2013,48.3
57,Turkish Airlines6,2012,39.0
58,Turkish Airlines6,2011,32.6
59,Turkish Airlines6,2010,29.1
60,Turkish Airlines6,2009,25.1
61,Turkish Airlines6,2008,22.6
62,Turkish Airlines6,2007,19.6
63,Turkish Airlines6,2006,16.9
64,Air France-KLM3,2021,44.67
65,Air France-KLM3,2020,34.1
66,Air France-KLM3,2019,104.2
67,Air France-KLM3,2018,101.45
68,Air France-KLM3,2017,98.72
69,Air France-KLM3,2016,93.4
70,Air France-KLM3,2015,89.8
71,Air France-KLM3,2014,87.4
72,Air France-KLM3,2013,78.4
73,Air France-KLM3,2012,77.5
74,Air France-KLM3,2011,75.8
75,Air France-KLM3,2010,70.8
76,Air France-KLM3,2009,71.4
77,Air France-KLM3,2008,73.8
78,Air France-KLM3,2007,74.8
79,Air France-KLM3,2006,73.5
80,International Airlines Group4,2021,38.86
81,International Airlines Group4,2020,31.3
82,International Airlines Group4,2019,118.3
83,International Airlines Group4,2018,112.92
84,International Airlines Group4,2017,104.83
85,International Airlines Group4,2016,100.7
86,International Airlines Group4,2015,94.9
87,International Airlines Group4,2014,77.3
88,International Airlines Group4,2013,67.2
89,International Airlines Group4,2012,54.6
90,International Airlines Group4,2011,51.7
91,International Airlines Group4,2010,50.6
92,International Airlines Group4,2009,53.3
93,International Airlines Group4,2008,59.8
94,International Airlines Group4,2007,61.7
95,International Airlines Group4,2006,63.2
96,Wizz Air9,2021,21.7
97,Wizz Air9,2020,16.67
98,Wizz Air9,2019,39.8
99,Wizz Air9,2018,33.81
100,Wizz Air9,2017,28.27
101,Wizz Air9,2016,22.78
102,Wizz Air9,2015,19.2
103,Wizz Air9,2014,15.8
104,Wizz Air9,2013,13.5
105,Wizz Air9,2012,12.0
106,Wizz Air9,2011,11.2
107,Wizz Air9,2010,9.6
108,Wizz Air9,2009,7.8
109,Wizz Air9,2008,5.8
110,Wizz Air9,2007,4.2
111,Wizz Air9,2006,3.0
112,EasyJet7,2021,20.4
113,EasyJet7,2020,16.09
114,EasyJet7,2019,103.3
115,EasyJet7,2018,88.5
116,EasyJet7,2017,81.63
117,EasyJet7,2016,74.5
118,EasyJet7,2015,69.9
119,EasyJet7,2014,65.3
120,EasyJet7,2013,61.4
121,EasyJet7,2012,59.2
122,EasyJet7,2011,55.5
123,EasyJet7,2010,49.7
124,EasyJet7,2009,46.1
125,EasyJet7,2008,44.6
126,EasyJet7,2007,38.2
127,EasyJet7,2006,33.0
128,Pegasus Airlines,2021,20.16
129,Pegasus Airlines,2020,14.71
130,Pegasus Airlines,2019,30.76
131,Pegasus Airlines,2018,29.97
132,Pegasus Airlines,2017,27.82
133,Pegasus Airlines,2016,24.14
134,Pegasus Airlines,2015,22.3
135,Pegasus Airlines,2014,19.7
136,Pegasus Airlines,2013,16.8
137,Pegasus Airlines,2012,13.6
138,Pegasus Airlines,2011,11.3
139,Pegasus Airlines,2010,8.6
140,Pegasus Airlines,2009,5.9
141,Pegasus Airlines,2008,4.4
142,Pegasus Airlines,2007,-
143,Pegasus Airlines,2006,3.1
144,S7 Airlines8,2021,17.83
145,S7 Airlines8,2020,12.35
146,S7 Airlines8,2019,17.9
147,S7 Airlines8,2018,15.96
148,S7 Airlines8,2017,14.25
149,S7 Airlines8,2016,13.15
150,S7 Airlines8,2015,10.6
151,S7 Airlines8,2014,10.1
152,S7 Airlines8,2013,9.3
153,S7 Airlines8,2012,8.3
154,S7 Airlines8,2011,5.1
155,S7 Airlines8,2010,4.8
156,S7 Airlines8,2009,5.6
157,S7 Airlines8,2008,5.9
158,S7 Airlines8,2007,5.7
159,S7 Airlines8,2006,4.9
160,SAS Group10,2021,10.19
161,SAS Group10,2020,8.81
162,SAS Group10,2019,29.8
163,SAS Group10,2018,30.0
164,SAS Group10,2017,28.37
165,SAS Group10,2016,29.4
166,SAS Group10,2015,27.1
167,SAS Group10,2014,27.3
168,SAS Group10,2013,25.4
169,SAS Group10,2012,25.4
170,SAS Group10,2011,24.7
171,SAS Group10,2010,23.1
172,SAS Group10,2009,22.8
173,SAS Group10,2008,27.0
174,SAS Group10,2007,27.2
175,SAS Group10,2006,26.9
176,Ural Airlines,2021,9.2
177,Ural Airlines,2020,5.6
178,Ural Airlines,2019,9.62
179,Ural Airlines,2018,9.0
180,Ural Airlines,2017,8.0
181,Ural Airlines,2016,6.47
182,Ural Airlines,2015,5.4
183,Ural Airlines,2014,5.1
184,Ural Airlines,2013,4.4
185,Ural Airlines,2012,3.5
186,Ural Airlines,2011,2.5
187,Ural Airlines,2010,1.8
188,Ural Airlines,2009,1.5
189,Ural Airlines,2008,1.5
190,Ural Airlines,2007,1.2
191,Ural Airlines,2006,1.0
192,Aegean Airlines12,2021,7.19
193,Aegean Airlines12,2020,5.17
194,Aegean Airlines12,2019,14.99
