,Airline,Year,Passengers,Indicator,,,
0,Ryanair,2021,178.77,L,,,
1,Ryanair,2020,128.42,L,,,
2,Ryanair,2019,376.30,L,,,
3,Ryanair,2018,343.70,L,,,
4,Ryanair,2017,317.95,L,,,
5,Ryanair,2016,288.40,L,,,
6,Ryanair,2015,250.37,L,,,
7,Ryanair,2014,213.33,L,,,
8,Ryanair,2013,200.99,L,,,
9,Ryanair,2012,196.54,L,,,
10,Ryanair,2011,188.64,L,,,
11,Ryanair,2010,179.51,L,,,
12,Ryanair,2009,161.23,L,,,
13,Ryanair,2008,142.47,L,,,
14,Ryanair,2007,120.99,L,,,
15,Ryanair,2006,100.00,L,,,
16,Lufthansa Group,2021,79.36,N,,,
17,Lufthansa Group,2020,61.51,N,,,
18,Lufthansa Group,2019,245.69,N,,,
19,Lufthansa Group,2018,240.78,N,,,
20,Lufthansa Group,2017,220.03,N,,,
21,Lufthansa Group,2016,198.65,N,,,
22,Lufthansa Group,2015,194.92,N,,,
23,Lufthansa Group,2014,190.36,N,,,
24,Lufthansa Group,2013,186.80,N,,,
25,Lufthansa Group,2012,184.26,N,,,
26,Lufthansa Group,2011,189.51,N,,,
27,Lufthansa Group,2010,160.91,N,,,
28,Lufthansa Group,2009,137.39,N,,,
29,Lufthansa Group,2008,129.27,N,,,
30,Lufthansa Group,2007,116.41,N,,,
31,Lufthansa Group,2006,100.00,N,,,
32,Aeroflot Group,2021,526.55,N,,,
33,Aeroflot Group,2020,346.67,N,,,
34,Aeroflot Group,2019,697.70,N,,,
35,Aeroflot Group,2018,640.23,N,,,
36,Aeroflot Group,2017,576.21,N,,,
37,Aeroflot Group,2016,498.85,N,,,
38,Aeroflot Group,2015,452.87,N,,,
39,Aeroflot Group,2014,398.85,N,,,
40,Aeroflot Group,2013,360.92,N,,,
41,Aeroflot Group,2012,316.09,N,,,
42,Aeroflot Group,2011,188.51,N,,,
43,Aeroflot Group,2010,162.07,N,,,
44,Aeroflot Group,2009,127.59,N,,,
45,Aeroflot Group,2008,133.33,N,,,
46,Aeroflot Group,2007,117.24,N,,,
47,Aeroflot Group,2006,100.00,N,,,
48,Turkish Airlines,2021,265.09,N,,,
49,Turkish Airlines,2020,165.38,N,,,
50,Turkish Airlines,2019,439.53,N,,,
51,Turkish Airlines,2018,444.73,N,,,
52,Turkish Airlines,2017,405.98,N,,,
53,Turkish Airlines,2016,371.60,N,,,
54,Turkish Airlines,2015,362.13,N,,,
55,Turkish Airlines,2014,324.26,N,,,
56,Turkish Airlines,2013,285.80,N,,,
57,Turkish Airlines,2012,230.77,N,,,
58,Turkish Airlines,2011,192.90,N,,,
59,Turkish Airlines,2010,172.19,N,,,
60,Turkish Airlines,2009,148.52,N,,,
61,Turkish Airlines,2008,133.73,N,,,
62,Turkish Airlines,2007,115.98,N,,,
63,Turkish Airlines,2006,100.00,N,,,
64,Air France-KLM,2021,60.78,N,,,
65,Air France-KLM,2020,46.39,N,,,
66,Air France-KLM,2019,141.77,N,,,
67,Air France-KLM,2018,138.03,N,,,
68,Air France-KLM,2017,134.31,N,,,
69,Air France-KLM,2016,127.07,N,,,
70,Air France-KLM,2015,122.18,N,,,
71,Air France-KLM,2014,118.91,N,,,
72,Air France-KLM,2013,106.67,N,,,
73,Air France-KLM,2012,105.44,N,,,
74,Air France-KLM,2011,103.13,N,,,
75,Air France-KLM,2010,96.33,N,,,
76,Air France-KLM,2009,97.14,N,,,
77,Air France-KLM,2008,100.41,N,,,
78,Air France-KLM,2007,101.77,N,,,
79,Air France-KLM,2006,100.00,N,,,
80,International Airlines Group,2021,61.49,N,,,
81,International Airlines Group,2020,49.53,N,,,
82,International Airlines Group,2019,187.18,N,,,
83,International Airlines Group,2018,178.67,N,,,
84,International Airlines Group,2017,165.87,N,,,
85,International Airlines Group,2016,159.34,N,,,
86,International Airlines Group,2015,150.16,N,,,
87,International Airlines Group,2014,122.31,N,,,
88,International Airlines Group,2013,106.33,N,,,
89,International Airlines Group,2012,86.39,N,,,
90,International Airlines Group,2011,81.80,N,,,
91,International Airlines Group,2010,80.06,N,,,
92,International Airlines Group,2009,84.34,N,,,
93,International Airlines Group,2008,94.62,N,,,
94,International Airlines Group,2007,97.63,N,,,
95,International Airlines Group,2006,100.00,N,,,
96,Wizz Air,2021,723.33,L,,,
97,Wizz Air,2020,555.67,L,,,
98,Wizz Air,2019,1326.67,L,,,
99,Wizz Air,2018,1127.00,L,,,
100,Wizz Air,2017,942.33,L,,,
101,Wizz Air,2016,759.33,L,,,
102,Wizz Air,2015,640.00,L,,,
103,Wizz Air,2014,526.67,L,,,
104,Wizz Air,2013,450.00,L,,,
105,Wizz Air,2012,400.00,L,,,
106,Wizz Air,2011,373.33,L,,,
107,Wizz Air,2010,320.00,L,,,
108,Wizz Air,2009,260.00,L,,,
109,Wizz Air,2008,193.33,L,,,
110,Wizz Air,2007,140.00,L,,,
111,Wizz Air,2006,100.00,L,,,
112,EasyJet,2021,61.82,L,,,
113,EasyJet,2020,48.76,L,,,
114,EasyJet,2019,313.03,L,,,
115,EasyJet,2018,268.18,L,,,
116,EasyJet,2017,247.36,L,,,
117,EasyJet,2016,225.76,L,,,
118,EasyJet,2015,211.82,L,,,
119,EasyJet,2014,197.88,L,,,
120,EasyJet,2013,186.06,L,,,
121,EasyJet,2012,179.39,L,,,
122,EasyJet,2011,168.18,L,,,
123,EasyJet,2010,150.61,L,,,
124,EasyJet,2009,139.70,L,,,
125,EasyJet,2008,135.15,L,,,
126,EasyJet,2007,115.76,L,,,
127,EasyJet,2006,100.00,L,,,
128,Pegasus Airlines,2021,650.32,L,,,
129,Pegasus Airlines,2020,474.52,L,,,
130,Pegasus Airlines,2019,992.26,L,,,
131,Pegasus Airlines,2018,966.77,L,,,
132,Pegasus Airlines,2017,897.42,L,,,
133,Pegasus Airlines,2016,778.71,L,,,
134,Pegasus Airlines,2015,719.35,L,,,
135,Pegasus Airlines,2014,635.48,L,,,
136,Pegasus Airlines,2013,541.94,L,,,
