Time period,Percentage change
1990 JAN,7.8
1990 FEB,8.3
1990 MAR,8.3
1990 APR,8.2
1990 MAY,8.7
1990 JUN,8.4
1990 JUL,8.1
1990 AUG,8.6
1990 SEP,8.3
1990 OCT,7.6
1990 NOV,7.5
1990 DEC,7.2
1991 JAN,6.6
1991 FEB,6.9
1991 MAR,6.5
1991 APR,7.2
1991 MAY,6.1
1991 JUN,7
1991 JUL,6.8
1991 AUG,6.6
1991 SEP,5.6
1991 OCT,5.6
1991 NOV,5.7
1991 DEC,5.5
1992 JAN,5.6
1992 FEB,5.1
1992 MAR,5.2
1992 APR,3.3
1992 MAY,3.7
1992 JUN,2.5
1992 JUL,2.4
1992 AUG,1.9
1992 SEP,2.2
1992 OCT,2.3
1992 NOV,1.5
1992 DEC,1.9
1993 JAN,1.4
1993 FEB,1.8
1993 MAR,2.3
1993 APR,2.4
1993 MAY,2.8
1993 JUN,2.8
1993 JUL,3.7
1993 AUG,3.6
1993 SEP,3.6
1993 OCT,2.8
1993 NOV,2.3
1993 DEC,1.8
1994 JAN,1.9
1994 FEB,1.5
1994 MAR,1.2
1994 APR,1.6
1994 MAY,1.5
1994 JUN,1.8
1994 JUL,1.5
1994 AUG,1.7
1994 SEP,1.3
1994 OCT,1.8
1994 NOV,2.6
1994 DEC,2.9
1995 JAN,3.4
1995 FEB,3.5
1995 MAR,3.6
1995 APR,3.3
1995 MAY,3.9
1995 JUN,3.3
1995 JUL,3.2
1995 AUG,4.5
1995 SEP,5.3
1995 OCT,4.5
1995 NOV,4.3
1995 DEC,4.5
1996 JAN,4
1996 FEB,4.4
1996 MAR,4.4
1996 APR,4.6
1996 MAY,3.7
1996 JUN,4.4
1996 JUL,4
1996 AUG,3.3
1996 SEP,2.3
1996 OCT,2.5
1996 NOV,2.1
1996 DEC,1.6
1997 JAN,1.8
1997 FEB,0.8
1997 MAR,-0.2
1997 APR,0.1
1997 MAY,0.1
1997 JUN,0.7
1997 JUL,1.4
1997 AUG,0.5
1997 SEP,1.2
1997 OCT,2
1997 NOV,2
1997 DEC,1.9
1998 JAN,1.4
1998 FEB,1.6
1998 MAR,1.8
1998 APR,1.7
1998 MAY,2.3
1998 JUN,1.4
1998 JUL,1.5
1998 AUG,2.3
1998 SEP,2.1
1998 OCT,2.2
1998 NOV,2.4
1998 DEC,2.9
1999 JAN,3.1
1999 FEB,3.2
1999 MAR,2.9
1999 APR,2.3
1999 MAY,1.6
1999 JUN,1.5
1999 JUL,1.2
1999 AUG,0.1
1999 SEP,0.2
1999 OCT,-0.1
1999 NOV,0.3
1999 DEC,-0.1
2000 JAN,-0.4
2000 FEB,-0.5
2000 MAR,-0.5
2000 APR,-0.2
2000 MAY,0.1
2000 JUN,0.6
2000 JUL,1.7
2000 AUG,1.4
2000 SEP,1.7
2000 OCT,1.9
2000 NOV,1.9
2000 DEC,2
2001 JAN,2.1
2001 FEB,2.2
2001 MAR,3.5
2001 APR,3.7
2001 MAY,4.9
2001 JUN,5.2
2001 JUL,3.3
2001 AUG,3.8
2001 SEP,3.6
2001 OCT,3.6
2001 NOV,3.2
2001 DEC,3.4
2002 JAN,3.8
2002 FEB,3.7
2002 MAR,3.1
2002 APR,2.6
2002 MAY,0.7
2002 JUN,-0.2
2002 JUL,0.9
2002 AUG,1
2002 SEP,1.2
2002 OCT,1.1
2002 NOV,1.2
2002 DEC,0.8
2003 JAN,0.2
2003 FEB,0.7
2003 MAR,0.8
2003 APR,1.3
2003 MAY,1.9
2003 JUN,2.1
2003 JUL,2.3
2003 AUG,2.3
2003 SEP,2.6
2003 OCT,2.5
2003 NOV,2.6
2003 DEC,2.9
2004 JAN,2.7
2004 FEB,2.4
2004 MAR,2.2
2004 APR,1.8
2004 MAY,1.4
2004 JUN,1.2
2004 JUL,0.7
2004 AUG,0.6
2004 SEP,0.2
2004 OCT,0.4
2004 NOV,0.6
2004 DEC,0.8
2005 JAN,1.1
2005 FEB,1.4
2005 MAR,1.9
2005 APR,1.5
2005 MAY,1.8
2005 JUN,2.2
2005 JUL,1.9
2005 AUG,2.1
2005 SEP,2
2005 OCT,1.6
2005 NOV,1.8
2005 DEC,1.7
2006 JAN,1.5
2006 FEB,1.5
2006 MAR,0.5
2006 APR,0.9
2006 MAY,1.4
2006 JUN,1.8
2006 JUL,2.7
2006 AUG,2.8
2006 SEP,3.1
2006 OCT,3.7
2006 NOV,3.9
2006 DEC,3.7
2007 JAN,3.4
2007 FEB,3.6
