Country,Air emissions,Population,,,
Belgium,9526720.55,11554767,,,
Bulgaria,8164236.59,6916548,,,
Czechia,10365945.20,10494836,,,
Denmark,12271091.00,5840045,,,
Germany (until 1990 former territory of the FRG),9549576.19,83155031,,,
Estonia,10007166.51,1330068,,,
Ireland,13213303.41,5006324,,,
Greece,8570415.13,10678632,,,
Spain,6220389.59,47398695,,,
France,6208931.39,67656682,,,
Croatia,5935466.97,4036355,,,
Italy,7040169.68,59236213,,,
Cyprus,9538751.47,896007,,,
Latvia,6352780.32,1893223,,,
Lithuania,9828931.67,2795680,,,
Luxembourg,16005991.96,634730,,,
Hungary,6915560.81,9730772,,,
Malta,4457554.77,516100,,,
Netherlands,10458483.54,17475415,,,
Austria,8063161.47,8932664,,,
Poland,11124961.77,37840001,,,
Portugal,5669700.43,10298252,,,
Romania,6288790.36,19201662,,,
Slovenia,7642723.25,2108977,,,
Slovakia,7566422.35,5459781,,,
Finland,8897426.02,5533793,,,
Sweden,4664771.42,10379295,,,
Iceland,14613776.41,368792,,,
Norway,12612988.35,5391369,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
